filename,season,designer,colors,silhouette,garments,fabrics,patterns,aesthetic
Valentino-Fall-Winter-2023-Fashion34.webp,fw_2023,Valentino,"black, multicolor, silver, pastels",fitted halter top with flared embellished skirt,"halter dress, embellished skirt, lace-up boots","jersey, sequin, crystal embellishment, leather",floral embellishment gradient,haute couture evening wear with edgy rock elements
Valentino-Fall-Winter-2023-Fashion63.webp,fw_2023,Valentino,"black, red, white","oversized, relaxed fit with straight lines","black button-up shirt, red v-neck shirt, black trousers, studded clutch","cotton, wool blend, leather",none,contemporary minimalist with edgy accessories
Valentino-Fall-Winter-2023-Fashion22.webp,fw_2023,Valentino,"black, white",oversized tailored with dramatic length,"long black coat, white dress shirt, black tie, black pants, black platform boots","wool, cotton, leather, feather trim",studded detail on sleeve,high fashion punk rock androgynous
Valentino-Fall-Winter-2023-Fashion59.webp,fw_2023,Valentino,"black, yellow, brown",oversized blazer with structured shoulders,"oversized black blazer, black mini dress, black platform boots, brown scarf, black handbag","wool, silk, leather, patent leather",none,modern minimalist with edgy elegance
Valentino-Fall-Winter-2023-Fashion18.webp,fw_2023,Valentino,"black, charcoal, silver, metallic",flowing cape silhouette with fitted bodice and dramatic train,"embellished cape, black feathered mini dress, collared shirt with tie, black platform heels","tulle, sheer mesh, feathers, suede, sequined material",all-over crystal and rhinestone embellishment,haute couture gothic glamour with dramatic evening wear sensibility
Valentino-Fall-Winter-2023-Fashion38.webp,fw_2023,Valentino,"black, white, gray","oversized, dramatic, avant-garde","fringed coat, white dress shirt, black tie, black shorts, black lace-up boots","fringe, cotton, silk, leather",abstract sketched pattern on fringe coat,"editorial avant-garde, high fashion, androgynous punk"
Valentino-Fall-Winter-2023-Fashion55.webp,fw_2023,Valentino,"white, cream, ivory","draped cape silhouette with flowing, voluminous proportions","halter neck cape dress, collared shirt detail","crepe, silk-like material, flowing chiffon",none,"minimalist elegance, modern haute couture, architectural draping, contemporary luxury"
Valentino-Fall-Winter-2023-Fashion02.webp,fw_2023,Valentino,"black, white",oversized blazer with shortened length,"black blazer, white dress shirt, black necktie, black ankle boots, black clutch","wool, cotton, leather",none,androgynous minimalist with contemporary edge
Valentino-Fall-Winter-2023-Fashion14.webp,fw_2023,Valentino,"gray, black, charcoal","oversized, relaxed, longline","tweed coat, tweed skirt, black turtleneck, black scarf, black platform boots","tweed, wool blend, knit, leather",herringbone tweed,"minimalist luxury, modern tailoring, androgynous chic"
Valentino-Fall-Winter-2023-Fashion43.webp,fw_2023,Valentino,"cream, white, black",oversized longline coat with fitted base,"long trench coat, white dress shirt, black shorts, black platform boots, studded clutch","wool blend, cotton, leather, metal studs",none,"minimalist luxury, contemporary tailored"
